Affischtavla	Billboard
angöring	landing
anhalt	halt
anhängare	follower
anhålla	request
anhållan	request
anhållande	apprehension
anhörig	relation
animalisk	animal
animerad	animated
aning	suspicion
aningslös	naive
anis	aniseed
anka	canard
ankar	anchor
ankare	anchor
ankel	ankle
anklaga	accuse
anklagelse	accusation
anklang	approval
ankn	connection
anknytning	connection
ankommen	arrived
ankomst	arrival
ankra	anchor
ankring	anchorage
anlag	capacity
anledning	cause
anlete	countenance
anlita	engage
anlägga	construct
anläggning	construction
anlända	reach
anmana	request
anmodan	order
anmäla	review
anmälan	report
anmälning	report
anmärka	observe
anmärkning	remark
anmärkningsvärd	striking
annalkande	approach
annan	another
annanstans	elsewhere
annars	otherwise
annektera	annex(e)
annex	wing
annons	advert
annonsörer	advertisers
annorlunda	otherwise
annorstädes	elsewhere
annullera	cancel
anonym	anonymous
anonymisering	anonymization
anor	lineage
anorak	anorak
anordna	organize
anordning	device
anorexi	anorexia
anpassa	adjust
anpassad	adapted
anpasslig	adjustable
anpassning	adjustment
anpassningsbar	customisable
anrika	enrich
anropa	call
anropssignal	callsign
anrätta	cook
ansamling	accumulation
ansats	run-up
anse	consider
ansedd	esteemed
anseende	respect
ansenlig	considerable
ansikte	face
ansiktskräm	facecream
ansiktslösa	faceless
ansiktsvatten	aftershave
anskaffbar	obtainable
anslag	touch
ansluta	connect
anslutning	connection
anslå	earmark
anspråk	pretension
anspråkslös	unassuming
anstalt	home
anstormning	assault
anstränga	strain
ansträngd	tenced
ansträngning	effort
anställa	employ
anställd	employee
anställda	employees
anställning	position
anständig	respectable
anständigt	decent
anstå	befit
anstånd	deferment
anstöt	offence
anstötlig	offensive
ansvar	responsibility
ansvarig	responsible
ansvarsfull	responsible
ansvarsfylld	responsible
ansvarslös	irresponsible
ansvarsmedveten	responsible
ansätta	press
ansåg	considered
ansökan	application
ansökning	application
anta	assume
antagande	assumption
antagen	approved
antagit	accepted
antaglig	probable
antagligen	probably
antagonist	antagonist
antal	quantity
antarktis	antarctica
antasta	molest
anteckna	note
anteckning	note
antenn	aerial
antenner	antennas
anti-	anti-
anti-europeisk	anti-europe
antiamerikanism	anti-americanism
antiamerikansk	anti-american
antiamerikanska	anti-american
antibiotika	antibiotics
antidemokrater	antidemocrats
antidemokratiska	antidemocratic
antidemokratiskt	antidemocratic
antifacklig	anti-union
antifascistisk	anti-fascist
antihistamin	antihistamine
antihjälte	antihero
antiimperialistiska	anti-imperialist
antiislamistiska	anti-islamic
antik	antique
antiken	antiquity
antiklimax	anticlimax
antikolonialism	anticolonialism
antikommersiell	anti-commercial
antikommunist	anti-communist
antikonst	anti-art
antikropp	antibody
antikverad	outmoded
antikvitet	antique
antillerna	Antilles
antimikrobiella	antimicrobial
antimuslimska	anti-muslim
antingen	whether
antioxidanter	anti-oxidants
antirasist	anti-racists
antirasistiska	antiracist
antirasistiskt	antiracist
antirysk	anti-russian
antisemit	anti-Semite
antisemiter	anti-semite
antiseptisk	antiseptic
antog	accepted
antologi	anthology
antropogena	anthropogenic
antropologi	anthropology
antropologisk	anthropological
anträffbar	available
antyda	hint
antydan	suggestion
antydning	insinuation
antydningar	assumings
antändbar	flammable
antändbara	flammable
anvisning	remittance
använd	use
använda	employ
användare	user
användbar	useful
användning	usage
aorta	aorta
apa	ape
apanage	appanage
apart	odd
apartheid	apartheid
apati	apathy
apatisk	apathetic
apelsin	orange
aperitif	aperitif
apokalyptisk	apocalyptic
apollonisk	apollonian
apostel	apostle
apostrof	apostrophe
apotek	chemist&#39;s
apotekare	Pharmacists
apparat	machine
apparatur	equipment
appell	call
appellera	appeal
appendicit	appendicitis
appendix	appendix
applikation	appliqué
applåd	applause
apport	fetch
apportera	fetch
approach	approach
approximation	approximering
approximativ	approximative
aprikos	apricot
april	April
aptera	adapt
aptit	appetite
aptitlig	appetizing
aptitretare	appetizers
arab	Arab
arabiska	Arabic
arameiska	armenian
arbeta	work
arbetande	working
arbetarfientliga	anti-labour
arbetarledare	foreman
arbete	work
arbetsam	hard-working
arbetsbelastning	workload
arbetsbesparande	labour-saving
arbetsbok	Workbook
arbetsbord	desk
arbetsbänk	workbench
arbetsförmedling	agency)
arbetsgivare	employer
arbetsinkomst	salary
arbetsintensiva	labour-intensive
arbetskraft	labour
arbetslag	team
arbetslön	salary
arbetslöshet	unemployment
arbetsmarknadspolitik	zx
arbetsordning	sequence
arbetsplats	workplace
arbetsplikt	duty
arbetsprestation	performance
arbetsredskap	equipment
arbetsrelaterade	work-related
arbetsskygg	work-shy
arbetssökande	jobseeking
arbetstagare	employer
arbetsvillkor	conditions
area	area
areal	area
arena	arena
arg	enraged
argentina	Argentina
argentinare	Argentinean
argentinsk	Argentine
argsint	irascible
argument	argument
argumentation	argumentation
argumentera	argue
aria	aria
aristokrat	aristocrat
aristokrati	aristocracy
aristokratisk	aristocratic
ark	sheet
arkad	arcade
arkadisk	arcadian
arkeologisk	archaeological
arketyp	archetype
arkipelag	archipelago
arkitekt	architect
arkitektur	architecture
arkiv	archives
arkivering	archiving
arla	early
arm	arm
armadan	armada
armband	bracelet
armbandsur	wrist-watch
armbrytning	armwrestling
armbåga	elbow
armbåge	elbow
armenier	Armenian
armenierna	armenians
armenisk	Armenian
armeniska	Armenian
armera	reinforce
armering	reinforcement
armhåla	armpit
armod	destitution
armé	army
arom	aroma
aromatiska	aromatic
arrangemang	arrangement
arrangera	arrange
arrangör	organizer
arrendator	leaseholder
arrendera	rent
arrest	detention
arrestera	arrest
arrogans	arrogance
arrogant	arrogant
arsel	arse
arsenal	arsenal
arsle	arsehole
art	species
artanpassad	species-adapted
artificiell	artificial
artig	courteous
artighet	politeness
artigt	politeness
artikel	article
artikulera	articulate
artilleri	artillery
artist	artist
artistisk	artistic
arton	eighteen
artonåring	eighteen-year-old
artär	artery
arv	heredity
arvinge	heir
arvlös	disinherited
arvode	fee
as	Aesir
asbest	asbestos
asbestos	asbestosis
asexuell	asexual
asfalt	asphalt
asfaltera	asphalt
asiat	Asiatic
asiater	asians
asiatisk	Asiatic
asien	Asia
ask	ash
aska	ash
asket	ascetic
asketism	asceticism
askfat	ashtray
askkopp	ashtray
asocial	asocial
asp	aspen
aspekt	aspect
aspirant	candidate
ass	insured
assimilera	assimilate
assistance	assistens
assistans	assistance
assistent	assistant
assistera	assist
association	association
associera	associate
associerad	medisen
assurans	insurance
assurera	insure
assyrier	Assyrian
assyrisk	Assyrian
aster	aster
asterisk	asterisk
asteroid	asteroid
astigmatisk	astigmatic
astma	asthma
astralljus	starlight
astrologi	astrology
astronaut	astronaut
astronomi	astronomy
astronomisk	astronomical
asyl	asylum
asymmetrisk	assymetrical
atavistisk	atavistic
ateist	atheist
ateljé	studio
atenare	Athenian
atlant-	Atlantic
atlas	atlas
atmosfär	atmosphere
atmosfäriskt	atmospheric
atom	atom
atombomba	nuke
atomkraftverk	nuclearpowerplant
atrium	atrium
atrofisk	atrophic
atropin	atropine
att	that
att.	att.
attaché	attaché
attack	attack
attackera	attack
attest	certification
attestera	attest
attiralj	tackle
attityd	attitude
attrahera	attract
attraktion	attraction
attraktiv	attractive
attrapp	decoy
attribut	attribute
atypisk	atypical
aubergin	eggplant
audiens	audience
audienssal	auditorium
audiologisk	audiological
audiovisuell	audio-visual
auditorium	audience
augusti	August
auktion	auction
auktionering	auction
auktionskammare	auctionhouse
auktionsutropare	auctioneer
auktorisera	authorize
auktoritet	authority
auktoritär	authoritarian
australiensisk	australian
australier	Australians
australisk	Australian
autentisering	authentication
autentisk	genuine
autistisk	autistic
autobiografi	autobiography
autograf	autograph
autokrat	autocrat
automatiserad	automated
automatisk	automatic
automatiskt	automatic
autonom	autonomous
autonomi	autonomy
autoritär	authoritarian
av	of
avancera	advance
avancerad	advanced
avantgarde	avant-garde
avbalkning	partition
avbeställa	cancel
avbetalningarna	absorbenter
avbild	image
avbilda	reproduce
avboka	cancel
avbokningar	cancellation
avbrott	interruption
avbryta	interrupt
avbytare	substitute
avböja	decline
avbön	apology
avdankad	superannuated
avdelning	department
avdikning	ditch
avdrag	reduction
avdragsgill	tax-deductible
avdramatisera	defuse
avdunsta	leave
avel	breeding
avelshingst	stallion
aveny	avenue
avenyer	avenues
aversion	aversion
avfall	rubbish
avfallsdamm	wastepond
avfallsdumpning	waste
avfallshantering	waste-management
avfolkning	depopulation
avfuktning	dehumidifiers
avfyra	discharge
avfälling	renegade
avfärd	departure
avfärda	dismiss
avfärdande	Dismissive
avfärgning	decoloring
avföring	excrement
avge	give
avgick	resigned
avgiftning	detoxification
avgjord	definite
avgjorde	concluded
avgjort	concluded
avgjutning	casting
avgrening	branch
avgrund	chasm
avgränsa	demarcate
avgränsad	limited
avguda	idolize
avgå	leave
avgång	departure
avgångselev	graduate
avgångstid	departure
avgöra	conclude
avgörande	conclusion
avhandling	dissertation
avhopp	defection
avhoppare	defector
avhugget	decapitate
avhumanisera	dehumanise
avhumaniseringen	dehumanisation
avhysa	eject
avhängig	dependent
avhåll	abstinence
avhålla	deter
avhållsam	continent
avi	notice
avidentifiering	disidentifying
avigsida	reverse
avisa	de-icing
avisera	advise
avjonisera	deionize
avkalkning	descale
avkastning	yield
avklarad	finished
avklarar	settle
avklarat	finished
avklädning	stripping
avkoda	decode
avkomling	descendant
avkoppling	relaxation
avkriminalisering	decriminalisation
avkräva	demand
avlagd	ok
avlat	indulgence
avledning	diversion
avlelse	conception
avliden	fallen
avliva	destroy
avlivning	execution
avlopp	drain
avloppsslam	sludge
avloppstrumma	drain
avloppsvatten	wastewater
avlossa	discharge
avlyssna	monitor
avlyssning	wiretap
avlägga	make
avlägsen	distant
avlägsna	remove
avlång	oblong
avlöna	pay
avmobilisera	demobilize
avmätt	stiff
avnjuta	enjoy
avnämare	buyer
avpassa	adjust
avpassad	adapted
avpollettera	reject
avreagering	steam-off
avregistrera	deregister
avregistrering	deregistering
avreglera	deregulate
avreglerad	deregulated
avreglering	deregulation
avresa	start
avrundningar	approximates
avrusta	demobilize
avrustning	disarmament
avrätta	execute
avrättad	executed
avrådan	discouragement
avsaknad	loss
avsaltat	distilled
avsats	landing
avsedd	meant
avseende	reference
avsegla	depart
avsides	distant
avsikt	intention
avsiktlig	deliberate
avsiktliga	deliberate
avsiktligen	delibraty
avskaffande	elimination
avsked	discharge
avskeda	sack
avskedanden	rest
avskedshälsning	farewell
avskild	isolated
avskrift	transcript
avskrivning	depreciation
avskräckande	deterrent
avskräde	refuse
avsky	abhorrence
avskydd	loathed
avskyvärt	despicable
avskära	Unfriended
avslag	rejection
avslagen	flat
avslagit	refused
avslog	rejected
avslut	closure
avsluta	complete
avslutad	finished
avslutande	concluding
avslutning	conclusion
avslutningsvis	Finally
avslå	decline
avslöja	reveal
avslöjare	revealer
avsmak	aversion
avsmaka	taste
avsmalna	narrowing
avsnitt	section
avsparken	gyps
avspegla	mirror
avspelning	playback
avspänd	relaxed
avspändhet	relaxation
avspänna	relax
avspärra	block
avstamp	take-off
avstanna	stop
avstava	hyphenate
avstavning	hyphenation
avsteg	departure
avstigning	dismount
avstressa	relax
avstyra	prevent
avstänger	suspend
avstånd	distance
avsvalnade	chilled
avsvalning	cooling
avsvimma	faint
avsyna	inspect
avsäga	resign
avsätta	earmark
avsättning	dismissal
avsåg	intended
avsöka	scan
avsöndra	secrete
avsöndrad	excreted
avtacka	thank
avtaga	decrease
avtagbar	removable
avtagsväg	byroad
avtal	agreement
avtala	arrange
avtrubba	blunt
avtrubbad	desensitized
avtryck	imprint
avtryckare	trigger
avträda	retire
avtäcka	unveil
avund	jealousy
avundas	envy
avundsjuk	jealous
avundsjuka	envy
avundsjukt	jealously
avvakta	await
avvaktan	pending
avvara	spare
avvattna	Drain
avveckla	liquidate
avveckling	dismantling
avverka	cover
avvika	differ
avvikande	anomalous
avvikelse	divergence
avvisad	rejected
avvägande	consideration
avvänjning	weaning
avväpna	disarm
avväpnande	disarming
axel	shoulder
axiom	axiom
ayatolla	ayatollah
azalea	azalea
babbla	babble
babian	baboon
babord	port
baby	baby
babyloniska	babylonian
babysäng	cradle
bacill	bug
back	reverse
backa	back
backe	slope
backning	backing
bacon	bacon
bad	bathe
bada	swim
badbyxa	bathing-trunks
badda	bathe
baddare	ace
baddräkt	swimsuit
badgäst	bathers
badhotell	Spa
badminton	badminton
badrum	bathroom
badvakt	lifeguard
bag	bag
bagage	baggage
bagagerum	luggageroom
bagare	baker
bagatell	trifle
bagateller	trifles
bagett	baguette
bagge	ram
bahamasöarna	bahamas
bajonett	bayonet
bajs	poo-poo
bak	baking
baka	bake
bakdel	rear
bakelit	bakelite
bakelse	cake
bakficka	hip-pocket
bakfylla	hangover
bakgrund	background
bakgrundsbild	wallpaper
bakhåll	ambush
bakis	hangover
baklänges	backward(s)
bakom	behind
bakrus	hangover
baksida	back
bakslag	setback
baksmälla	hangover
baktala	slander
bakterie	germ
bakteriella	bacterial
bakteriologisk	bacterial
bakvatten	backwater
bakverk	pastry
bakåt	backward(s)
bal	ball
balalajka	balalaika
balans	balance
balansera	balance
balanserad	balanced
balett	ballet
balja	pod
balk	beam
balklänning	gown
balkong	balcony
ballad	ballad
ballast	ballast
ballerina	ballerina
ballong	balloon
balsam	balsam
balsamera	embalm
balt	Balt
baltikum	baltic
baltisk	Baltic
balustrad	parapet
bambu	bamboo
bamse	Bamse
bana	track
banal	prosaic
banan	banana
bananodlare	banana-growers
bananproducerande	banana-producing
banbrytande	pioneer(ing)
banbrytare	pioneer
band	volume
bandage	bandage
banderoll	streamer
bandit	bandit
banditer	bandits
banditerna	bandits
bandkassett	tape
bandschaktare	bulldozer
bandy	bandy
bane	bane
baneman	killer
baner	standard
bang	bang
bangladeshisk	Bangladeshi
banhoppning	(show)jumping
bank	bank
banka	knock
bankett	banquet
bankir	banker
bankman	banker
bankrutt	bankrupt
bankrörelse	Banking
bankärende	Banking
bann	ban
bannlysa	excommunicate
bannor	scolding
baptist	Baptist
bar	naked
bara	if
barack	barracks
barbacka	bareback
barbarer	barbarians
barbarisk	barbarous
barberare	hairdresser
bard	bard
barfota	barefoot
barhuvad	bare-headed
bark	bark
barkass	longboat
barlast	ballast
barm	breast
barmficka	Invitational
barmhärtig	merciful
barmhärtighet	mercyfulness
barn	child
barnafödande	childbirth
barnbarn	grandchild
barndom	childhood
barndomstid	childhood
barndomsår	childhoodyear
barnflicka	nursemaid
barnförlamning	polio
barnjungfru	nanny
barnmorska	midwife
barnomsorg	child-care
barnpassning	child-minding
barnsaga	fairytale
barnsben	childhood
barnsbörd	childbirth
barnskötare	nanny
barnslighet	childishness
barnsoldat	child-soldiers
barnsoldater	child-soldiers
barnvagn	stroller
barnvakt	baby-sitter
barock	baroque
barockstil	baroque
barometer	barometer
baron	baron
baronessan	baroness
barr	needle
barrikad	barricade
barrikaderna	barricade
barskrapad	destitute
bartender	bartender
baryton	baritone
bas	base
basenhet	bas
basera	base
baserad	based
basilika	basil
basis	basis
bask	Basque
basker	beret
baskermössa	beret
basket	basketball
basketboll	basketball
baskisk	Basque
baslinje	baseline
bast	raffia
bastant	solid
bastard	bastard
bastion	bastion
bastu	sauna
bastubad	sauna
basun	trombone
batalj	battle
bataljer	battles
bataljon	battalion
batik	batik
batist	batiste
batong	truncheon
batteri	battery
bautasten	menhir
bayersk	bavarian
bazooka	bazooka
be	pray
beakta	notice
bearbeta	work
bearbetad	treated
beatnik	beatnik
bebo	inhabit
bebodd	occupied
bebyggelse	settlement
bebåda	foretell
bebådelse	announcement
beck	pitch
bed	ask
bedarra	lull
beder	ask
bedjande	pleading
bedra	swindle
bedragare	imposter
bedragit	fooled
bedrift	exploit
bedriva	operate
bedrog	defrauded
bedräglig	deceitful
bedröva	grieve
bedrövad	sorrowful
bedrövelse	sorrow
bedrövlig	deplorable
bedrövlighet	misery
beduin	bedouin
bedyra	swear
bedåra	fascinate
bedöma	appraise
bedömande	estimating
bedömning	estimate
bedövning	anaesthesia
bedövningsmedel	chair
befalla	command
befallande	commanding
befallning	order
befara	fear
befattning	position
befattningshavare	cycle
befintlig	existing
befjädrad	feathered
befläcka	defile
befogad	legitimate
befogenhet	right
befolka	people
befolkad	populated
befolkning	people
befordra	send
befordran	promotion
befria	liberate
befriad	liberated
befriande	relieving
befriare	liberator
befrielse	release
befrukta	inspire
befruktade	 fertilized
befruktande	fertilizing
befruktat	conceived
befruktning	fertilization
befrämja	foster
befunnit	felt
befängd	ridiculous
befästa	secure
befästning	fortification
begagna	use
begagnad	secondhand
bege	leave
begeistrad	enthusiastic
begett	left
begiven	besotted
begivenhet	event
begonia	begonia
begravning	funeral
begravningsplats	graveyard
begravningspsalm	funeralhymn
begrep	understood
begrepp	conception
begripa	understand
begriplig	understandable
begriplighet	comprehension
begränsa	limit
begränsad	limited
begränsning	bounds
begråta	mourn
begynnande	incipient
begynnelse	infancy
begär	longing
begära	ask
begäran	application
begärd	required
begå	perpetrate
begåva	present
begåvad	talented
begåvning	aptitude
behag	delight
behaga	choose
behaglig	agreeable
behandla	handle
behandlad	treated
behandling	discussion
behandlingsmetoder	treatments
behjärtansvärd	deserving
behov	need
behovsinriktad	needs-oriented
behändig	handy
behärska	control
behärskad	self-controlled
behärskning	control
behå	brassiere
behålla	retain
behållare	receptacle
behörig	fitting
behörighetsbevis	license
behörighetsgivande	qualifying
behöva	want
behövas	needed
behövlig	needed
behövs	need
beige	beige
bekant	acquaintance
bekantskap	knowledge
beklaga	pity
beklagansvärd	unfortunate
beklaglig	regrettable
beklagligen	regrettable
beklagligtvis	unfortunately
bekläda	hold
beklädnad	covering
beklämd	dejected
beklämmande	distressing
bekostnad	expense
bekräfta	corroborate
bekräftelse	confirmation
bekväm	lazy
bekvämlighet	convenience
bekymmer	concern
bekymmerslöshet	carelessness
bekymrad	concerned
bekämpa	control
bekämpande	combating
bekämpning	fight
bekämpningsmedel	insecticide
bekänna	profess
bekännare	confessor
bekännelse	creed
belamrad	encumbered
belasta	charge
beledsaga	attend
belevad	courteous
belgare	Belgian
belgier	Belgian
belgisk	Belgian
belopp	amount
belysning	illustration
belägen	located
belägenhet	predicament
belägga	substantiate
beläggning	coat
belägra	besiege
beläst	well-read
belåning	mortgage
belåtenhet	contentment
belöna	reward
bemanna	man
bemedlad	well-to-do
bemyndiga	authorize
bemyndigad	authorized
bemyndigande	authorization
bemärkelse	sense
bemästra	overcome
bemödande	effort
bemöta	refute
ben	bone
bena	bone
benchmarking	bench-marking
bengaliska	bengali
benig	puzzling
benmjöl	bonemeal
bensen	benzene
bensinfat	barrel
bensol	benzol
benägen	gentle
benägenhet	tendency
benämna	name
benådning	pardon
beordra	instruct
beordrats	ordered
